Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean
sub-pp162,6.863043980215254,-8.470181542034194,-0.3333084195203777
sub-pp106,3.519390625329927,-3.9399679461895687,4.980733323658902
sub-pp076,35.63595103759828,36.20650605972114,38.70173081535814
sub-pp048,-2.53183638325964,-8.700107524519522,-3.9264772009200124
sub-pp042,-23.109843173072253,-13.363862747391513,-16.80133568841199
sub-pp052,8.387885086588625,11.286201862425179,10.015730454836392
sub-pp068,21.54617205493025,2.235929043416615,4.943114625871569
sub-pp092,-9.362945575062106,-12.293884750310278,-14.439415605410568
sub-pp093,9.807679648893194,16.63717499954408,12.202887205642163
sub-pp032,0.1884146839993186,-18.834450397683494,-19.075125162239765
sub-pp125,6.94124047704435,7.650241498101514,12.030769985800015
sub-pp023,13.04111764419219,-4.709441761926794,7.050989802525506
sub-pp025,6.130885426131421,6.1779679950753135,2.52891292608782
sub-pp033,-10.927102830897795,2.086132422727052,-1.3259780091260924
sub-pp112,16.143720999742165,7.852727638701459,7.682641901356215
sub-pp019,35.73535339196778,20.5756947391961,25.34053685608219
sub-pp110,-8.615164685277986,-23.413783116300554,-18.80677766275843
sub-pp027,-25.06554300038733,-19.91363112213094,-18.39444401865236
sub-pp077,15.911350684868307,-5.948578184544639,2.421552992444333
sub-pp127,4.989788713514741,-5.373630884759419,4.845582140695473
sub-pp044,10.135401969481038,1.1651855134548623,-0.5515500350497758
sub-pp091,17.479049366723714,51.10461242705033,28.555630122025605
sub-pp161,3.815772958292375,1.5769195720329652,3.3907460551507893
sub-pp039,27.546738994554577,16.523803540109608,13.748276163836943
sub-pp031,-10.795948764014767,6.154140428896206,10.008561139440548
sub-pp036,-1.0463048222586193,0.25602957950493804,-2.1015729821225153
sub-pp043,11.819487544771635,0.20819828053936362,-0.47556303161801716
sub-pp034,0.5094203935601772,-5.826720029742933,-3.4170618357309093
sub-pp129,0.32772042752148056,1.0923463539880158,16.251397770743647
sub-pp046,-11.787137472341394,17.231575977003672,8.183242366081261
sub-pp061,13.374222591153195,8.378144540306224,4.593665856609832
sub-pp083,-29.832397347077347,3.046074032626694,-11.687952783637542
sub-pp088,20.089439041594154,11.047901448646456,10.95312125375766
sub-pp041,23.481959137261615,12.826316113766852,16.811853505273284
sub-pp012,-6.261935502435996,1.9874093358594258,0.5390175475545098
sub-pp051,7.927710662277526,-1.6508201056865697,13.940157402539898
sub-pp053,7.78718860140548,-1.9753119159160943,1.7355781013277536
sub-pp133,-3.514979532943704,17.02279651874592,4.336210167091834
sub-pp169,2.4594789198513314,1.0087438451663593,-2.8692196630159623
sub-pp011,8.64976335574005,-2.9965965226883053,5.402631324213303
sub-pp003,11.465246034969342,6.281355817932291,11.298800138167628
sub-pp080,18.539084257637587,5.195169047675778,8.263844930748505
sub-pp136,6.581755196091591,4.3128475775857105,5.574555812823375
sub-pp094,8.996281535659207,7.930524491659104,6.2288148523700375
sub-pp142,-2.6964650952583575,-1.1388176094011062,-2.5727086702427995
sub-pp005,-17.41634619843342,-10.394074057701218,-17.352693629339708
sub-pp026,13.235385698071306,-3.007581532402136,7.29083861737209
sub-pp132,1.6987485252589418,-8.980356786943192,-3.642017651984768
sub-pp002,-2.2666624226870065,16.614289703884104,-6.626078192499176
sub-pp139,9.248744981041035,12.055763234309776,11.342395847633467
sub-pp066,14.131466002492076,7.916123551590028,7.563413329356456
sub-pp029,-18.66866851486584,-12.40187806362053,-16.07381015329414
sub-pp060,59.86238681722401,16.945311344326214,27.94117697141956
sub-pp119,-2.9693142158746952,-0.5069226522459525,-0.6233752891117035
sub-pp130,1.8758445921827618,6.914563297146828,5.600802163206597
sub-pp167,17.65677658459729,14.041212571243655,9.820246577124305
sub-pp070,6.9844590219207365,-4.821609942477724,-1.8479564088897165
sub-pp059,5.735645237251416,8.108771302714347,14.23028412378289
sub-pp028,-6.857974026522313,-15.623517111244036,-4.94804329640526
sub-pp064,14.076816723578506,19.597623229676998,9.290426400880783
sub-pp143,22.332356183988672,-1.8936487196431184,7.7177110831181235
