Participant,Cluster_1_Mean,Cluster_2_Mean
sub-pp077,-18.646801326368845,-13.79998580866074
sub-pp127,-8.460612473189599,0.4826389226452475
sub-pp044,-28.53725408893629,-47.03141487214431
sub-pp091,-11.844280421059626,-7.029059296359488
sub-pp161,5.042814978475148,6.033391147256932
sub-pp039,14.25017439624987,16.79580006817334
sub-pp031,1.2594651305949545,-16.47713107669628
sub-pp036,3.5522376235174726,24.171613177667883
sub-pp043,15.539844478011236,14.897295002831004
sub-pp034,-1.0301866299367015,5.151254576282326
sub-pp129,-4.583153120257991,-0.12084276869631651
sub-pp046,5.621229066454094,-26.92664680706626
sub-pp061,13.534439290976543,-2.20279990499349
sub-pp083,19.64215399707272,25.362138470992914
sub-pp088,-1.0367352497035385,-0.08527834633057556
sub-pp041,-11.348185591804498,-19.346724114489703
sub-pp012,-29.837314015517986,-29.84081715608985
sub-pp051,-30.400395384420456,-27.771331534530336
sub-pp053,-14.86512188904254,-22.48937864396898
sub-pp133,18.30372598852519,20.433111593710347
sub-pp169,2.763182722536114,0.2856620995883356
sub-pp011,-43.859816575680696,-19.173440848210316
sub-pp003,-15.777101654724492,8.159475337515167
sub-pp080,-1.9797013069055454,-5.804906482568653
sub-pp136,25.000565544790465,12.630154656481858
sub-pp094,13.284230350867974,14.83610934532882
sub-pp142,-26.846762184418658,-12.386993952024707
sub-pp005,-12.141686521108447,-0.6256864684911674
sub-pp026,-7.554346232141279,15.942586852030622
sub-pp132,10.890980508716735,27.46467987204526
sub-pp002,25.29805566555593,5.159644567837417
sub-pp139,-5.10143823800594,-11.515430824215693
sub-pp066,15.517168665139662,9.971562381605047
sub-pp029,13.085933242253901,8.745910557166656
sub-pp060,22.309651458098568,33.14019314091304
sub-pp119,14.206324880557426,18.56138099545112
sub-pp130,-15.955525909227495,-4.905747436825731
sub-pp167,3.070921318993714,17.94174397421309
sub-pp070,-1.8107084816562165,-17.552924000500152
sub-pp059,-6.5450254956500755,13.448649384868359
sub-pp028,10.86988503007366,7.931937766419343
sub-pp064,-10.611508572227894,-5.803005193703268
