Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean
sub-pp032,-9.537941088953188,-10.238478716333933,-3.8258873791862364
sub-pp125,12.017404553581562,11.98517844865103,-7.3885764680840715
sub-pp023,15.704088324095522,8.275987602041274,7.217247669353312
sub-pp025,-3.203848461684372,-4.534458682678978,-12.97394350401515
sub-pp033,1.8154646260344556,-1.6720299607004998,17.286108252028345
sub-pp112,-1.4173245528712868,-4.850847450425062,-4.384364036904394
sub-pp019,2.709332143233291,18.713065525641618,2.9742193759784485
sub-pp110,-3.8001935871584074,-7.55950413704772,4.5888321574891044
sub-pp027,-2.839101761047329,-6.758327110992802,-2.4388384614577037
sub-pp077,-11.147021642465676,-12.09285464578337,-15.993332492936759
sub-pp127,9.686547931762679,12.82762200648503,11.125122645132372
sub-pp044,8.719888997950724,10.87091622611859,0.7498653402963015
sub-pp091,-10.561924045570194,-17.02955591106934,-17.021072566998956
sub-pp161,-0.42956780797668864,3.1573705908737915,2.4605568818833987
sub-pp039,-1.3014459844252892,-1.3196533196572402,-17.037332539133295
sub-pp031,7.083148276369487,4.606430566836335,-1.995235070370499
sub-pp036,4.743547206648758,2.7725678654854367,-1.3273989809516684
sub-pp043,-4.548685749686722,-9.913077112437318,-4.482514942180021
sub-pp034,-14.77489795640643,-19.648167580455045,-12.231843752235594
sub-pp129,4.918824444982622,-8.308380074852407,-18.75125145928494
sub-pp046,-0.9274419055629655,-15.994488523388393,-8.03829935469398
sub-pp061,-4.208261451343341,-10.509221547847805,-14.057163611491662
sub-pp083,4.967700359749474,-2.233901945051686,-2.3297487864393234
sub-pp088,-2.8721681975892612,-5.13212462368828,3.362738160267822
sub-pp041,5.7807479069488386,9.97007582404235,3.9349634609693815
sub-pp012,-12.69922326134784,-2.544203161188626,-9.397094654242897
sub-pp051,-4.788007653203926,1.2487199337428396,-11.912501642454258
sub-pp053,-6.468032028068389,-9.449367085791822,-15.339833364658734
sub-pp133,4.289097634490047,4.401993073865344,13.433991356352008
sub-pp169,1.4537577570708735,-5.710110848160518,-5.982695429805952
sub-pp011,0.9972021762281656,12.427255079523619,8.937674212106248
sub-pp003,-6.467976146538609,2.8189954518980676,-8.961932239320905
sub-pp080,-0.07969449268920081,-0.2343250491038445,-8.809537050849139
sub-pp136,2.3853493758716753,-2.1824572011917334,-2.9702640807573832
sub-pp094,15.713484349061869,16.85224383329719,3.3318009696309114
sub-pp142,9.387403285274548,10.045646875518816,3.4523674350739086
sub-pp005,1.8174361414994513,0.9522596037322055,-1.4554793536282291
sub-pp026,-17.69015808054911,-17.988213969870227,-20.522195732193314
sub-pp132,-1.5665741558665676,-1.398069806463643,0.7646118216624656
sub-pp002,3.941207620336541,-2.0010456917340687,-3.327945572768625
sub-pp139,-2.357754857319274,-4.282877448297201,-6.123443730545692
sub-pp066,6.267057050189802,6.682142375085974,15.088530706036952
sub-pp029,-4.335703197419644,-6.76536084704439,-2.8266156812377727
sub-pp060,-11.558747223062175,-20.12082602286396,-20.59970534391153
sub-pp119,3.9216723192483185,8.827008746546607,-1.609005287060797
