Participant,Cluster_1_Mean,Cluster_2_Mean,Cluster_3_Mean,Cluster_4_Mean
sub-pp155,7.419494638110821,5.046631354224693,3.979979725785906,7.716297348900496
sub-pp150,33.70405352849227,8.421814914918146,27.184866340224534,14.57932305231311
sub-pp162,-5.202564182629188,-6.687592599280258,1.8106387733553093,-4.850408487112537
sub-pp106,9.617426461602252,9.94810498628415,1.2595762394165715,4.85046406462838
sub-pp076,15.73707384245518,21.85233077992741,21.337041244665752,22.48144635094615
sub-pp048,-0.06925893366718903,9.241611991278653,5.594342374416182,12.839977104291009
sub-pp042,-10.873907084839466,-11.798601529823664,-15.81112776053091,-17.782775316855545
sub-pp052,10.66734649351595,2.5766657863725695,5.827966640459376,9.115963742613234
sub-pp068,18.285661406547597,17.10182647348151,14.162911013319567,6.009806821870021
sub-pp092,-14.30262411053364,-8.455543926439415,-14.541594952132296,-7.143404328296641
sub-pp093,22.403487967690214,6.357172154662255,18.95690925828098,12.735568296558828
sub-pp032,1.254992921421161,-4.220088126074172,-7.338601397500216,-19.872647326293453
sub-pp125,9.161780017800629,7.265359584950423,10.254049952838923,9.481107534756756
sub-pp023,12.796426227001044,18.534515171518755,2.255215255801485,11.134237176115324
sub-pp025,-3.2468719577321257,2.0679557187339435,1.196374508104107,-0.3528903641053325
sub-pp033,-0.730188882503754,-9.065136493466253,5.5150552710999,0.21422251011800486
sub-pp112,14.574790226228727,-13.787305200010794,0.17348492319844228,1.3316813015736035
sub-pp019,20.161714594543746,38.80482185046133,36.15235259510509,28.971420859998982
sub-pp110,-5.375971139630733,-22.351521346574792,-27.507841464928102,-31.30896745422965
sub-pp027,-15.213551382133021,-29.760160847606823,0.9389949091909461,-11.231002106186603
sub-pp077,-2.3476643071724816,8.502330827701869,-0.8350802240506704,-1.6098458736331014
sub-pp127,16.200496465206527,23.143552192988302,10.794478034661617,14.1829435924912
sub-pp044,12.519492653188989,17.442502204551655,-0.5034627708378121,10.282610912549147
sub-pp091,-5.213673694489094,7.181963248369404,36.574949359576834,17.762623238362828
sub-pp161,15.157918180836937,-0.9468888690412586,-0.17824791296477033,1.3428427095881497
sub-pp039,5.1165850471418635,23.76784799560013,2.134349052746564,4.290938128239731
sub-pp031,26.20077344416999,0.5303597851441457,10.087991017026853,11.835245827330949
sub-pp036,-6.024871783942366,0.16793459392765647,3.242044703631472,1.448515014563937
sub-pp043,0.45739711753259865,13.510510123024384,0.7536305334979497,5.217653816261068
sub-pp034,-9.723079521500338,-9.621904044726497,-12.255403610045496,-10.843253167846841
sub-pp129,8.354893084749197,3.7375898249407546,14.702193998493708,21.250634764525586
sub-pp046,-10.638239243483314,1.3174302171692889,9.581639073089722,4.503386192162514
sub-pp061,-5.4475520884689805,5.524059876915004,4.682419549922631,2.3521954639343585
sub-pp083,8.5135349770387,-2.142693502835444,-9.603611456557937,-4.95711765916189
sub-pp088,7.0434878300397825,20.40864637073997,5.690512559734811,7.674316100187761
sub-pp041,11.598971115090908,19.92129417291532,13.484569919519078,16.056036939787454
sub-pp012,9.803086177918773,-8.446853071021346,-2.5849621858892915,-3.137266922149867
sub-pp051,19.04390483689136,6.198233338851983,-2.4449919729400547,6.882211777483324
sub-pp053,-5.992183663333074,2.879460714988283,-2.235932646981222,-2.1529165586251233
sub-pp133,-1.9225594520318108,-2.511136572730417,-0.7052482919080181,-3.6745104048542347
sub-pp169,-0.3321748026479513,2.112394801761883,-5.490403313598029,-2.7916886977245117
sub-pp011,19.15897351048696,5.851636118177946,4.940672613696066,5.6489498105431215
sub-pp003,2.6735316424454467,15.513077624731212,7.986518821479746,12.824729332086074
sub-pp080,7.340714316431863,9.393033269084354,7.11272875011576,7.9360454406009415
sub-pp136,-2.7624182481605275,15.24248300671068,8.754727580638942,8.885362102513815
sub-pp094,19.318319700620112,-2.4662008568660445,26.80533935533578,21.52758146902252
sub-pp142,16.218585862410375,18.781762234436776,7.528253106567067,8.972346320902892
sub-pp005,-0.9421750684961294,-2.9939416272517962,-4.3591854838043185,-4.308815687768776
sub-pp026,-15.98845542470614,4.242491214950052,-9.370264319811698,-6.359889023941729
sub-pp132,-3.9563062901489245,3.324132009162607,-0.1532024673407296,1.9604559571302371
sub-pp002,14.707695949746247,1.170399495619389,10.048542814273702,-10.958805640042112
sub-pp139,10.41642388957672,-1.9363563549244038,2.4274941240322576,2.037485775146693
sub-pp066,6.743632166794478,21.51020382414771,12.811524081091008,8.360086713803483
sub-pp029,-23.274832374473604,-17.974690943701653,-6.34162094219601,-10.712712457497364
sub-pp060,-13.289339093787548,29.83528568398239,6.776064162559314,11.412706987990594
sub-pp119,3.885400409194139,6.397609159487706,1.907891992688008,3.609273309383861
sub-pp130,2.4447716685564957,-0.5115771265302458,1.8483393667839545,1.9374778999862816
sub-pp167,2.6132317065571744,22.394619835315535,2.254672160639395,0.9439472168817827
sub-pp070,0.39345559095725036,7.993164604497898,-3.9384844918613324,-1.7758424375838306
sub-pp059,-3.3139197832558493,0.23343625222133774,-0.9823019835782683,5.968172418926999
sub-pp028,-10.455396430796156,-14.61103991061672,-17.343093405104447,-15.533808755214313
sub-pp064,10.758839492676541,36.40616158644358,26.66631570728991,21.02573203434328
sub-pp143,7.538509467473397,14.929144783709676,8.081936062498432,3.360369445051907
